scenario,scenario_label,arrangement,number_of_households,load_folder,en_opex,en_capex_repayment,pv_capex_repayment,average_hh_bill$,average_hh_solar_bill$,average_hh_total$,central_battery_SOH_mean,central_battery_capacity_kWh_mean,central_battery_cycles_mean,checksum_total_payments$_mean,cp_ratio_mean,cust_bill_cp_mean,cust_solar_bill_cp_mean,cust_total$_cp_mean,eno$_bat_capex_repay_mean,eno$_demand_charge_mean,eno$_energy_bill_mean,eno$_npv_building_mean,eno$_receipts_from_residents_mean,eno$_total_payment_mean,eno_net$_mean,export_kWh_mean,import_kWh_mean,pv_ratio_mean,retailer_bill$_mean,retailer_receipt$_mean,self-consumption_mean,self-consumption_OLD_mean,self-sufficiency_mean,self-sufficiency_OLD_mean,solar_retailer_profit_mean,total$_building_costs_mean,total_battery_losses_mean,total_building_load_mean
336,W_bldg2_336,en_pv,72.0,W,18000.0,4103.317751763428,21718.274671833577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.55713016986636,0.0,0.0,0.0,0.0,19130.67540606133,61302.472400639526,-784258.993284707,0.0,105124.06482423651,-105124.06482423651,61624.81433602905,274749.9036351923,47.83030914037832,33384.37729438518,61302.472400639526,68.46185678818745,68.46185678818713,32.74551774503314,32.7455177450329,0.0,105124.06482423651,0.0,408522.8142766657
337,W_bldg2_337,en_pv,72.0,W,18000.0,3118.894836467117,20996.84559550184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.55713016986636,0.0,0.0,0.0,0.0,19130.67540606133,61302.472400639526,-1017773.3830817289,0.0,103418.21283260848,-103418.21283260848,61624.81433602905,274749.9036351923,47.83030914037832,33384.37729438518,61302.472400639526,68.46185678818745,68.46185678818713,32.74551774503314,32.7455177450329,0.0,103418.21283260848,0.0,408522.8142766657
338,W_bldg2_338,en_pv,72.0,W,18000.0,2647.9291921353265,17826.2375970539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.55713016986636,0.0,0.0,0.0,0.0,19130.67540606133,61302.472400639526,-1158063.1796938363,0.0,99776.63918982874,-99776.63918982874,61624.81433602905,274749.9036351923,47.83030914037832,33384.37729438518,61302.472400639526,68.46185678818745,68.46185678818713,32.74551774503314,32.7455177450329,0.0,99776.63918982874,0.0,408522.8142766657
339,W_bldg2_339,en_pv,72.0,W,18000.0,2381.3379798904616,19458.933207104914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.55713016986636,0.0,0.0,0.0,0.0,19130.67540606133,61302.472400639526,-1306282.962164899,0.0,101142.7435876349,-101142.7435876349,61624.81433602905,274749.9036351923,47.83030914037832,33384.37729438518,61302.472400639526,68.46185678818745,68.46185678818713,32.74551774503314,32.7455177450329,0.0,101142.7435876349,0.0,408522.8142766657
340,W_bldg2_340,en_pv,72.0,W,18000.0,11321.288575633196,37819.59966392876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.55713016986636,0.0,0.0,0.0,0.0,19130.67540606133,61302.472400639526,-545715.0431252897,0.0,128443.3606402015,-128443.3606402015,61624.81433602905,274749.9036351923,47.83030914037832,33384.37729438518,61302.472400639526,68.46185678818745,68.46185678818713,32.74551774503314,32.7455177450329,0.0,128443.3606402015,0.0,408522.8142766657
341,W_bldg2_341,en_pv,72.0,W,18000.0,6501.360593703093,21718.274671833577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.55713016986636,0.0,0.0,0.0,0.0,19130.67540606133,61302.472400639526,-802149.1563812121,0.0,107522.10766617619,-107522.10766617619,61624.81433602905,274749.9036351923,47.83030914037832,33384.37729438518,61302.472400639526,68.46185678818745,68.46185678818713,32.74551774503314,32.7455177450329,0.0,107522.10766617619,0.0,408522.8142766657
342,W_bldg2_342,en_pv,72.0,W,18000.0,4941.6255850517955,20996.84559550184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.55713016986636,0.0,0.0,0.0,0.0,19130.67540606133,61302.472400639526,-1035711.4888526807,0.0,105240.94358119316,-105240.94358119316,61624.81433602905,274749.9036351923,47.83030914037832,33384.37729438518,61302.472400639526,68.46185678818745,68.46185678818713,32.74551774503314,32.7455177450329,0.0,105240.94358119316,0.0,408522.8142766657
343,W_bldg2_343,en_pv,72.0,W,18000.0,4195.4202784481795,17826.2375970539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.55713016986636,0.0,0.0,0.0,0.0,19130.67540606133,61302.472400639526,-1176024.2221033096,0.0,101324.1302761416,-101324.1302761416,61624.81433602905,274749.9036351923,47.83030914037832,33384.37729438518,61302.472400639526,68.46185678818745,68.46185678818713,32.74551774503314,32.7455177450329,0.0,101324.1302761416,0.0,408522.8142766657
344,W_bldg2_344,en_pv,72.0,W,18000.0,3773.0290070991723,19458.933207104914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.55713016986636,0.0,0.0,0.0,0.0,19130.67540606133,61302.472400639526,-1324256.9879126318,0.0,102534.43461484362,-102534.43461484362,61624.81433602905,274749.9036351923,47.83030914037832,33384.37729438518,61302.472400639526,68.46185678818745,68.46185678818713,32.74551774503314,32.7455177450329,0.0,102534.43461484362,0.0,408522.8142766657
345,W_bldg2_345,en_pv,72.0,W,18000.0,18281.09712622737,37819.59966392876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.55713016986636,0.0,0.0,0.0,0.0,19130.67540606133,61302.472400639526,-575285.0590794077,0.0,135403.16919079566,-135403.16919079566,61624.81433602905,274749.9036351923,47.83030914037832,33384.37729438518,61302.472400639526,68.46185678818745,68.46185678818713,32.74551774503314,32.7455177450329,0.0,135403.16919079566,0.0,408522.8142766657
346,W_bldg2_346,en_pv,72.0,W,18000.0,10498.098663602537,21718.274671833577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.55713016986636,0.0,0.0,0.0,0.0,19130.67540606133,61302.472400639526,-831966.0948753873,0.0,111518.84573607564,-111518.84573607564,61624.81433602905,274749.9036351923,47.83030914037832,33384.37729438518,61302.472400639526,68.46185678818745,68.46185678818713,32.74551774503314,32.7455177450329,0.0,111518.84573607564,0.0,408522.8142766657
347,W_bldg2_347,en_pv,72.0,W,18000.0,7979.510166026261,20996.84559550184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.55713016986636,0.0,0.0,0.0,0.0,19130.67540606133,61302.472400639526,-1065608.3318042671,0.0,108278.82816216763,-108278.82816216763,61624.81433602905,274749.9036351923,47.83030914037832,33384.37729438518,61302.472400639526,68.46185678818745,68.46185678818713,32.74551774503314,32.7455177450329,0.0,108278.82816216763,0.0,408522.8142766657
348,W_bldg2_348,en_pv,72.0,W,18000.0,6774.572088969601,17826.2375970539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.55713016986636,0.0,0.0,0.0,0.0,19130.67540606133,61302.472400639526,-1205959.2927857675,0.0,103903.28208666302,-103903.28208666302,61624.81433602905,274749.9036351923,47.83030914037832,33384.37729438518,61302.472400639526,68.46185678818745,68.46185678818713,32.74551774503314,32.7455177450329,0.0,103903.28208666302,0.0,408522.8142766657
349,W_bldg2_349,en_pv,72.0,W,18000.0,6092.514052447024,19458.933207104914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.55713016986636,0.0,0.0,0.0,0.0,19130.67540606133,61302.472400639526,-1354213.6974921853,0.0,104853.91966019146,-104853.91966019146,61624.81433602905,274749.9036351923,47.83030914037832,33384.37729438518,61302.472400639526,68.46185678818745,68.46185678818713,32.74551774503314,32.7455177450329,0.0,104853.91966019146,0.0,408522.8142766657
350,W_bldg2_350,en_pv,72.0,W,18000.0,7145.403445276689,37819.59966392876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.55713016986636,0.0,0.0,0.0,0.0,19130.67540606133,69479.18101239932,-562713.2713545138,0.0,132444.18412160478,-132444.18412160478,61624.81433602905,274749.9036351923,47.83030914037832,33384.37729438518,69479.18101239932,68.46185678818745,68.46185678818713,32.74551774503314,32.7455177450329,0.0,132444.18412160478,0.0,408522.8142766657
351,W_bldg2_351,en_pv,72.0,W,18000.0,4103.317751763428,21718.274671833577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.55713016986636,0.0,0.0,0.0,0.0,19130.67540606133,69479.18101239932,-845259.8428519565,0.0,113300.77343599632,-113300.77343599632,61624.81433602905,274749.9036351923,47.83030914037832,33384.37729438518,69479.18101239932,68.46185678818745,68.46185678818713,32.74551774503314,32.7455177450329,0.0,113300.77343599632,0.0,408522.8142766657
352,W_bldg2_352,en_pv,72.0,W,18000.0,3118.894836467117,20996.84559550184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.55713016986636,0.0,0.0,0.0,0.0,19130.67540606133,69479.18101239932,-1098243.12006833,0.0,111594.92144436829,-111594.92144436829,61624.81433602905,274749.9036351923,47.83030914037832,33384.37729438518,69479.18101239932,68.46185678818745,68.46185678818713,32.74551774503314,32.7455177450329,0.0,111594.92144436829,0.0,408522.8142766657
353,W_bldg2_353,en_pv,72.0,W,18000.0,2647.9291921353265,17826.2375970539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.55713016986636,0.0,0.0,0.0,0.0,19130.67540606133,69479.18101239932,-1252966.6085049545,0.0,107953.34780158855,-107953.34780158855,61624.81433602905,274749.9036351923,47.83030914037832,33384.37729438518,69479.18101239932,68.46185678818745,68.46185678818713,32.74551774503314,32.7455177450329,0.0,107953.34780158855,0.0,408522.8142766657
354,W_bldg2_354,en_pv,72.0,W,18000.0,2381.3379798904616,19458.933207104914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.55713016986636,0.0,0.0,0.0,0.0,19130.67540606133,69479.18101239932,-1411887.1287838724,0.0,109319.4521993947,-109319.4521993947,61624.81433602905,274749.9036351923,47.83030914037832,33384.37729438518,69479.18101239932,68.46185678818745,68.46185678818713,32.74551774503314,32.7455177450329,0.0,109319.4521993947,0.0,408522.8142766657
