scenario,scenario_label,arrangement,number_of_households,load_folder,en_opex,en_capex_repayment,pv_capex_repayment,average_hh_bill$,average_hh_solar_bill$,average_hh_total$,central_battery_SOH_mean,central_battery_capacity_kWh_mean,central_battery_cycles_mean,checksum_total_payments$_mean,cp_ratio_mean,cust_bill_cp_mean,cust_solar_bill_cp_mean,cust_total$_cp_mean,eno$_bat_capex_repay_mean,eno$_demand_charge_mean,eno$_energy_bill_mean,eno$_npv_building_mean,eno$_receipts_from_residents_mean,eno$_total_payment_mean,eno_net$_mean,export_kWh_mean,import_kWh_mean,pv_ratio_mean,retailer_bill$_mean,retailer_receipt$_mean,self-consumption_mean,self-consumption_OLD_mean,self-sufficiency_mean,self-sufficiency_OLD_mean,solar_retailer_profit_mean,total$_building_costs_mean,total_battery_losses_mean,total_building_load_mean
96,C_bldg2_096,btm_p_c,12.0,C,778.44,1508.1024983753896,1692.6185726024141,606.0137150521766,73.33174964935547,679.345464701532,0.0,0.0,0.0,2.3283064365386963e-12,21.020477998911687,1051.9978560594325,297.89781468806063,1349.8956707474929,0.0,0.0,0.0,-70888.25299051778,0.0,0.0,0.0,6961.037835401422,17019.93080489734,56.206301696903225,1680.5341934342948,8324.162436685552,46.07993350073401,46.07993350073411,25.89982644515494,25.8998264451549,-2801.2822604974776,9502.041247165876,0.0,22968.8136861111
98,C_bldg2_098,btm_p_c,12.0,C,778.44,973.19994983675,1679.0278286494456,606.0137150521766,73.33174964935547,679.345464701532,0.0,0.0,0.0,2.3283064365386963e-12,21.020477998911687,1051.9978560594325,297.89781468806063,1349.8956707474929,0.0,0.0,0.0,-110285.97665370796,0.0,0.0,0.0,6961.037835401422,17019.93080489734,56.206301696903225,1680.5341934342948,8324.162436685552,46.07993350073401,46.07993350073411,25.89982644515494,25.8998264451549,-2252.7889680058693,9502.041247165876,0.0,22968.8136861111
100,C_bldg2_100,btm_p_c,12.0,C,778.44,2626.1677597575363,2947.478921176634,573.1649610400403,106.1805036614917,679.345464701532,0.0,0.0,0.0,1.1641532182693482e-12,21.020477998911687,889.2998773729533,460.59579337453965,1349.8956707474929,0.0,0.0,0.0,-40371.15521681881,0.0,0.0,0.0,6961.037835401422,17019.93080489734,56.206301696903225,1680.5341934342948,7767.279409853439,46.07993350073401,46.07993350073411,25.89982644515494,25.8998264451549,-4617.324843621729,9502.041247165876,0.0,22968.8136861111
101,C_bldg2_101,btm_p_c,12.0,C,778.44,1508.1024983753896,1692.6185726024141,573.1649610400403,106.1805036614917,679.345464701532,0.0,0.0,0.0,1.1641532182693482e-12,21.020477998911687,889.2998773729533,460.59579337453965,1349.8956707474929,0.0,0.0,0.0,-70888.2529905178,0.0,0.0,0.0,6961.037835401422,17019.93080489734,56.206301696903225,1680.5341934342948,7767.279409853439,46.07993350073401,46.07993350073411,25.89982644515494,25.8998264451549,-2244.3992336653637,9502.041247165876,0.0,22968.8136861111
103,C_bldg2_103,btm_p_c,12.0,C,778.44,973.19994983675,1679.0278286494456,573.1649610400403,106.1805036614917,679.345464701532,0.0,0.0,0.0,1.1641532182693482e-12,21.020477998911687,889.2998773729533,460.59579337453965,1349.8956707474929,0.0,0.0,0.0,-110285.97665370797,0.0,0.0,0.0,6961.037835401422,17019.93080489734,56.206301696903225,1680.5341934342948,7767.279409853439,46.07993350073401,46.07993350073411,25.89982644515494,25.8998264451549,-1695.9059411737555,9502.041247165876,0.0,22968.8136861111
105,C_bldg2_105,btm_p_c,12.0,C,778.44,2626.1677597575363,2947.478921176634,556.7405840339724,122.60488066755981,679.345464701532,0.0,0.0,0.0,-1.1641532182693482e-12,21.020477998911687,807.9508880297138,541.9447827177792,1349.8956707474929,0.0,0.0,0.0,-40371.15521681882,0.0,0.0,0.0,6961.037835401422,17019.93080489734,56.206301696903225,1680.5341934342948,7488.837896437381,46.07993350073401,46.07993350073411,25.89982644515494,25.8998264451549,-4338.883330205673,9502.041247165878,0.0,22968.8136861111
106,C_bldg2_106,btm_p_c,12.0,C,778.44,1508.1024983753896,1692.6185726024141,556.7405840339724,122.60488066755981,679.345464701532,0.0,0.0,0.0,0.0,21.020477998911687,807.9508880297138,541.9447827177792,1349.8956707474929,0.0,0.0,0.0,-70888.25299051781,0.0,0.0,0.0,6961.037835401422,17019.93080489734,56.206301696903225,1680.5341934342948,7488.837896437381,46.07993350073401,46.07993350073411,25.89982644515494,25.8998264451549,-1965.9577202493072,9502.041247165878,0.0,22968.8136861111
108,C_bldg2_108,btm_p_c,12.0,C,778.44,973.19994983675,1679.0278286494456,556.7405840339724,122.60488066755981,679.345464701532,0.0,0.0,0.0,0.0,21.020477998911687,807.9508880297138,541.9447827177792,1349.8956707474929,0.0,0.0,0.0,-110285.976653708,0.0,0.0,0.0,6961.037835401422,17019.93080489734,56.206301696903225,1680.5341934342948,7488.837896437381,46.07993350073401,46.07993350073411,25.89982644515494,25.8998264451549,-1417.4644277576988,9502.041247165878,0.0,22968.8136861111
110,C_bldg2_110,btm_p_c,12.0,C,778.44,2626.1677597575363,2947.478921176634,606.0137150521766,81.47972183261719,687.4934368847936,0.0,0.0,0.0,3.4924596548080443e-12,21.020477998911687,1051.9978560594325,330.9975718756229,1382.9954279350554,0.0,0.0,0.0,-40927.20332208118,0.0,0.0,0.0,6961.037835401422,17019.93080489734,56.206301696903225,1680.5341934342948,8324.162436685552,46.07993350073401,46.07993350073411,25.89982644515494,25.8998264451549,-5043.3324470671405,9632.916670552579,0.0,22968.8136861111
111,C_bldg2_111,btm_p_c,12.0,C,778.44,1508.1024983753896,1692.6185726024141,606.0137150521766,81.47972183261719,687.4934368847936,0.0,0.0,0.0,4.656612873077393e-12,21.020477998911687,1051.9978560594325,330.9975718756229,1382.9954279350554,0.0,0.0,0.0,-71864.62531746854,0.0,0.0,0.0,6961.037835401422,17019.93080489734,56.206301696903225,1680.5341934342948,8324.162436685552,46.07993350073401,46.07993350073411,25.89982644515494,25.8998264451549,-2670.406837110774,9632.916670552579,0.0,22968.8136861111
