,net_participant_export,central_battery_export,unallocated_local_solar,unallocated_central_battery_load,gross_participant_grid_import,gross_participant_local_solar_import,gross_participant_central_battery_import,net_network_export
2017-02-27 19:00:00,-0.735,0.0,0.0,0.0,0.735,0,0,-0.735
2017-02-27 19:30:00,-0.735,0.0,0.0,0.0,0.735,0,0,-0.735
2017-02-27 20:00:00,-1.524,0.0,0.0,0.0,1.524,0,0,-1.524
2017-02-27 20:30:00,-0.6990000000000001,0.0,0.0,0.0,0.6990000000000001,0,0,-0.6990000000000001
2017-02-27 21:00:00,-0.735,0.0,0.0,0.0,0.735,0,0,-0.735
2017-02-27 21:30:00,-0.744,0.0,0.0,0.0,0.744,0,0,-0.744
2017-02-27 22:00:00,-0.705,0.0,0.0,0.0,0.705,0,0,-0.705
2017-02-27 22:30:00,-0.675,0.0,0.0,0.0,0.675,0,0,-0.675
2017-02-27 23:00:00,-0.744,0.0,0.0,0.0,0.744,0,0,-0.744
2017-02-27 23:30:00,-0.735,0.0,0.0,0.0,0.735,0,0,-0.735
2017-02-28 00:00:00,-0.735,0.0,0.0,0.0,0.735,0,0,-0.735
2017-02-28 00:30:00,-0.6990000000000001,0.0,0.0,0.0,0.6990000000000001,0,0,-0.6990000000000001
2017-02-28 01:00:00,-0.7140000000000001,0.0,0.0,0.0,0.7140000000000001,0,0,-0.7140000000000001
2017-02-28 01:30:00,-0.765,0.0,0.0,0.0,0.765,0,0,-0.765
2017-02-28 02:00:00,-1.524,0.0,0.0,0.0,1.524,0,0,-1.524
2017-02-28 02:30:00,-0.669,0.0,0.0,0.0,0.669,0,0,-0.669
2017-02-28 03:00:00,-0.726,0.0,0.0,0.0,0.726,0,0,-0.726
2017-02-28 03:30:00,-0.72,0.0,0.0,0.0,0.72,0,0,-0.72
2017-02-28 04:00:00,-0.399,0.0,0.0,0.0,0.399,0,0,-0.399
2017-02-28 04:30:00,-0.375,0.0,0.0,0.0,0.375,0,0,-0.375
2017-02-28 05:00:00,-0.42000000000000004,0.0,0.0,0.0,0.42000000000000004,0,0,-0.42000000000000004
2017-02-28 05:30:00,-0.44099999999999995,0.0,0.0,0.0,0.44099999999999995,0,0,-0.44099999999999995
2017-02-28 06:00:00,-0.38723076600000006,0.0,0.0,0.0,0.38723076600000006,0,0,-0.38723076600000006
2017-02-28 06:30:00,-0.334867977,0.0,0.0,0.0,0.334867977,0,0,-0.334867977
2017-02-28 07:00:00,-5.296766046,0.0,0.0,0.0,5.296766046,0,0,-5.296766046
2017-02-28 07:30:00,-7.341806922,0.0,0.0,0.0,7.341806922,0,0,-7.341806922
2017-02-28 08:00:00,-12.744803235,0.0,0.0,0.0,12.744803235,0,0,-12.744803235
2017-02-28 08:30:00,-17.805178092,0.0,0.0,0.0,17.805178092,0,0,-17.805178092
2017-02-28 09:00:00,-15.996456042,0.0,0.0,0.0,15.996456042,0,0,-15.996456042
2017-02-28 09:30:00,-16.532005929,0.0,0.0,0.0,16.532005929,0,0,-16.532005929
2017-02-28 10:00:00,-27.96805242,0.0,0.0,0.0,27.96805242,0,0,-27.96805242
2017-02-28 10:30:00,-32.269047914999994,0.0,0.0,0.0,32.269047914999994,0,0,-32.269047914999994
2017-02-28 11:00:00,-20.541488631,0.0,0.0,0.0,20.541488631,0,0,-20.541488631
2017-02-28 11:30:00,-14.343842175,0.0,0.0,0.0,14.343842175,0,0,-14.343842175
2017-02-28 12:00:00,-21.803380752000002,0.0,0.0,0.0,21.803380752000002,0,0,-21.803380752000002
2017-02-28 12:30:00,-8.63061042,0.0,0.0,0.0,8.63061042,0,0,-8.63061042
2017-02-28 13:00:00,-20.977533936,0.0,0.0,0.0,20.977533936,0,0,-20.977533936
2017-02-28 13:30:00,-26.994376184999997,0.0,0.0,0.0,26.994376184999997,0,0,-26.994376184999997
2017-02-28 14:00:00,-26.463315324000003,0.0,0.0,0.0,26.463315324000003,0,0,-26.463315324000003
2017-02-28 14:30:00,-15.497609387999997,0.0,0.0,0.0,15.497609387999997,0,0,-15.497609387999997
2017-02-28 15:00:00,-12.515089776,0.0,0.0,0.0,12.515089776,0,0,-12.515089776
2017-02-28 15:30:00,-7.037131542000001,0.0,0.0,0.0,7.037131542000001,0,0,-7.037131542000001
2017-02-28 16:00:00,-0.770837247,0.0,0.0,0.0,0.770837247,0,0,-0.770837247
2017-02-28 16:30:00,-0.690876477,0.0,0.0,0.0,0.690876477,0,0,-0.690876477
2017-02-28 17:00:00,-0.18408628200000005,0.0,0.0,0.0,0.18408628200000005,0,0,-0.18408628200000005
2017-02-28 17:30:00,-0.315370374,0.0,0.0,0.0,0.315370374,0,0,-0.315370374
2017-02-28 18:00:00,-0.363521295,0.0,0.0,0.0,0.363521295,0,0,-0.363521295
2017-02-28 18:30:00,-0.49314038400000004,0.0,0.0,0.0,0.49314038400000004,0,0,-0.49314038400000004
2017-02-28 19:00:00,-0.615,0.0,0.0,0.0,0.615,0,0,-0.615
2017-02-28 19:30:00,-0.669,0.0,0.0,0.0,0.669,0,0,-0.669
2017-02-28 20:00:00,-0.675,0.0,0.0,0.0,0.675,0,0,-0.675
2017-02-28 20:30:00,-0.675,0.0,0.0,0.0,0.675,0,0,-0.675
2017-02-28 21:00:00,-0.636,0.0,0.0,0.0,0.636,0,0,-0.636
2017-02-28 21:30:00,-0.669,0.0,0.0,0.0,0.669,0,0,-0.669
2017-02-28 22:00:00,-0.684,0.0,0.0,0.0,0.684,0,0,-0.684
2017-02-28 22:30:00,-0.66,0.0,0.0,0.0,0.66,0,0,-0.66
2017-02-28 23:00:00,-1.434,0.0,0.0,0.0,1.434,0,0,-1.434
