scenario,scenario_label,arrangement,number_of_households,load_folder,en_opex,en_capex_repayment,pv_capex_repayment,average_hh_bill$,average_hh_solar_bill$,average_hh_total$,central_battery_SOH_mean,central_battery_capacity_kWh_mean,central_battery_cycles_mean,checksum_total_payments$_mean,cp_ratio_mean,cust_bill_cp_mean,cust_solar_bill_cp_mean,cust_total$_cp_mean,eno$_bat_capex_repay_mean,eno$_demand_charge_mean,eno$_energy_bill_mean,eno$_npv_building_mean,eno$_receipts_from_residents_mean,eno$_total_payment_mean,eno_net$_mean,export_kWh_mean,import_kWh_mean,pv_ratio_mean,retailer_bill$_mean,retailer_receipt$_mean,self-consumption_mean,self-consumption_OLD_mean,self-sufficiency_mean,self-sufficiency_OLD_mean,solar_retailer_profit_mean,total$_building_costs_mean,total_battery_losses_mean,total_building_load_mean
471,T_bldg1_471,en_pv,15.0,T,3750.0,1065.7968186398516,3208.048424105953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.101381960911605,0.0,0.0,0.0,0.0,4447.236386841082,14121.789352046759,-165213.48486668096,0.0,22145.634594792566,-22145.634594792566,9974.00389856113,55451.54841434321,41.27101141897281,8461.642332113435,14121.789352046759,68.79099409299211,68.79099409299187,28.390739027343688,28.390739027343614,0.0,22145.634594792566,0.0,77436.28081222216
472,T_bldg1_472,en_pv,15.0,T,3750.0,810.1025549265239,3352.8119492021506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.101381960911605,0.0,0.0,0.0,0.0,4447.236386841082,14121.789352046759,-216850.92475154938,0.0,22034.703856175434,-22034.703856175434,9974.00389856113,55451.54841434321,41.27101141897281,8461.642332113435,14121.789352046759,68.79099409299211,68.79099409299187,28.390739027343688,28.390739027343614,0.0,22034.703856175434,0.0,77436.28081222216
473,T_bldg1_473,en_pv,15.0,T,3750.0,687.773816139046,2846.523881545476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.101381960911605,0.0,0.0,0.0,0.0,4447.236386841082,14121.789352046759,-248450.95440077633,0.0,21406.087049731283,-21406.087049731283,9974.00389856113,55451.54841434321,41.27101141897281,8461.642332113435,14121.789352046759,68.79099409299211,68.79099409299187,28.390739027343688,28.390739027343614,0.0,21406.087049731283,0.0,77436.28081222216
474,T_bldg1_474,en_pv,15.0,T,3750.0,618.5293454260939,3258.1033270319494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.101381960911605,0.0,0.0,0.0,0.0,4447.236386841082,14121.789352046759,-280886.1232834466,0.0,21748.4220245048,-21748.4220245048,9974.00389856113,55451.54841434321,41.27101141897281,8461.642332113435,14121.789352046759,68.79099409299211,68.79099409299187,28.390739027343688,28.390739027343614,0.0,21748.4220245048,0.0,77436.28081222216
475,T_bldg1_475,en_pv,15.0,T,3750.0,6031.834077181621,5586.406329943593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.101381960911605,0.0,0.0,0.0,0.0,4447.236386841082,14121.789352046759,-125293.7698109062,0.0,29490.02975917197,-29490.02975917197,9974.00389856113,55451.54841434321,41.27101141897281,8461.642332113435,14121.789352046759,68.79099409299211,68.79099409299187,28.390739027343688,28.390739027343614,0.0,29490.02975917197,0.0,77436.28081222216
476,T_bldg1_476,en_pv,15.0,T,3750.0,3463.839660579518,3208.048424105953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.101381960911605,0.0,0.0,0.0,0.0,4447.236386841082,14121.789352046759,-183103.6479631863,0.0,24543.677436732232,-24543.677436732232,9974.00389856113,55451.54841434321,41.27101141897281,8461.642332113435,14121.789352046759,68.79099409299211,68.79099409299187,28.390739027343688,28.390739027343614,0.0,24543.677436732232,0.0,77436.28081222216
477,T_bldg1_477,en_pv,15.0,T,3750.0,2632.8333035112028,3352.8119492021506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.101381960911605,0.0,0.0,0.0,0.0,4447.236386841082,14121.789352046759,-234789.03052250098,0.0,23857.43460476011,-23857.43460476011,9974.00389856113,55451.54841434321,41.27101141897281,8461.642332113435,14121.789352046759,68.79099409299211,68.79099409299187,28.390739027343688,28.390739027343614,0.0,23857.43460476011,0.0,77436.28081222216
478,T_bldg1_478,en_pv,15.0,T,3750.0,2235.2649024518996,2846.523881545476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.101381960911605,0.0,0.0,0.0,0.0,4447.236386841082,14121.789352046759,-266411.9968102502,0.0,22953.578136044136,-22953.578136044136,9974.00389856113,55451.54841434321,41.27101141897281,8461.642332113435,14121.789352046759,68.79099409299211,68.79099409299187,28.390739027343688,28.390739027343614,0.0,22953.578136044136,0.0,77436.28081222216
479,T_bldg1_479,en_pv,15.0,T,3750.0,2010.2203726348052,3258.1033270319494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.101381960911605,0.0,0.0,0.0,0.0,4447.236386841082,14121.789352046759,-298860.1490311796,0.0,23140.113051713513,-23140.113051713513,9974.00389856113,55451.54841434321,41.27101141897281,8461.642332113435,14121.789352046759,68.79099409299211,68.79099409299187,28.390739027343688,28.390739027343614,0.0,23140.113051713513,0.0,77436.28081222216
480,T_bldg1_480,en_pv,15.0,T,3750.0,12991.6426277758,5586.406329943593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.101381960911605,0.0,0.0,0.0,0.0,4447.236386841082,14121.789352046759,-154863.78576502402,0.0,36449.83830976615,-36449.83830976615,9974.00389856113,55451.54841434321,41.27101141897281,8461.642332113435,14121.789352046759,68.79099409299211,68.79099409299187,28.390739027343688,28.390739027343614,0.0,36449.83830976615,0.0,77436.28081222216
481,T_bldg1_481,en_pv,15.0,T,3750.0,7460.577730478959,3208.048424105953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.101381960911605,0.0,0.0,0.0,0.0,4447.236386841082,14121.789352046759,-212920.58645736196,0.0,28540.41550663167,-28540.41550663167,9974.00389856113,55451.54841434321,41.27101141897281,8461.642332113435,14121.789352046759,68.79099409299211,68.79099409299187,28.390739027343688,28.390739027343614,0.0,28540.41550663167,0.0,77436.28081222216
482,T_bldg1_482,en_pv,15.0,T,3750.0,5670.717884485667,3352.8119492021506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.101381960911605,0.0,0.0,0.0,0.0,4447.236386841082,14121.789352046759,-264685.8734740872,0.0,26895.319185734577,-26895.319185734577,9974.00389856113,55451.54841434321,41.27101141897281,8461.642332113435,14121.789352046759,68.79099409299211,68.79099409299187,28.390739027343688,28.390739027343614,0.0,26895.319185734577,0.0,77436.28081222216
483,T_bldg1_483,en_pv,15.0,T,3750.0,4814.416712973321,2846.523881545476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.101381960911605,0.0,0.0,0.0,0.0,4447.236386841082,14121.789352046759,-296347.0674927074,0.0,25532.729946565552,-25532.729946565552,9974.00389856113,55451.54841434321,41.27101141897281,8461.642332113435,14121.789352046759,68.79099409299211,68.79099409299187,28.390739027343688,28.390739027343614,0.0,25532.729946565552,0.0,77436.28081222216
484,T_bldg1_484,en_pv,15.0,T,3750.0,4329.705417982657,3258.1033270319494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.101381960911605,0.0,0.0,0.0,0.0,4447.236386841082,14121.789352046759,-328816.85861073446,0.0,25459.598097061367,-25459.598097061367,9974.00389856113,55451.54841434321,41.27101141897281,8461.642332113435,14121.789352046759,68.79099409299211,68.79099409299187,28.390739027343688,28.390739027343614,0.0,25459.598097061367,0.0,77436.28081222216
485,T_bldg1_485,en_pv,15.0,T,3750.0,1855.948946825114,5586.406329943593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.101381960911605,0.0,0.0,0.0,0.0,4447.236386841082,15777.170469967996,-114584.94882562697,0.0,26969.525746736705,-26969.525746736705,9974.00389856113,55451.54841434321,41.27101141897281,8461.642332113435,15777.170469967996,68.79099409299211,68.79099409299187,28.390739027343688,28.390739027343614,0.0,26969.525746736705,0.0,77436.28081222216
486,T_bldg1_486,en_pv,15.0,T,3750.0,1065.7968186398516,3208.048424105953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.101381960911605,0.0,0.0,0.0,0.0,4447.236386841082,15777.170469967996,-177563.15505127705,0.0,23801.0157127138,-23801.0157127138,9974.00389856113,55451.54841434321,41.27101141897281,8461.642332113435,15777.170469967996,68.79099409299211,68.79099409299187,28.390739027343688,28.390739027343614,0.0,23801.0157127138,0.0,77436.28081222216
487,T_bldg1_487,en_pv,15.0,T,3750.0,810.1025549265239,3352.8119492021506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.101381960911605,0.0,0.0,0.0,0.0,4447.236386841082,15777.170469967996,-233142.086574306,0.0,23690.08497409667,-23690.08497409667,9974.00389856113,55451.54841434321,41.27101141897281,8461.642332113435,15777.170469967996,68.79099409299211,68.79099409299187,28.390739027343688,28.390739027343614,0.0,23690.08497409667,0.0,77436.28081222216
488,T_bldg1_488,en_pv,15.0,T,3750.0,687.773816139046,2846.523881545476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.101381960911605,0.0,0.0,0.0,0.0,4447.236386841082,15777.170469967996,-267664.2285357946,0.0,23061.468167652514,-23061.468167652514,9974.00389856113,55451.54841434321,41.27101141897281,8461.642332113435,15777.170469967996,68.79099409299211,68.79099409299187,28.390739027343688,28.390739027343614,0.0,23061.468167652514,0.0,77436.28081222216
