scenario,cust_bill_T01_mean,cust_bill_T01_std,cust_bill_T02_mean,cust_bill_T02_std,cust_bill_T03_mean,cust_bill_T03_std,cust_bill_T04_mean,cust_bill_T04_std,cust_bill_T05_mean,cust_bill_T05_std,cust_bill_T06_mean,cust_bill_T06_std,cust_bill_T07_mean,cust_bill_T07_std,cust_bill_T08_mean,cust_bill_T08_std,cust_bill_T09_mean,cust_bill_T09_std,cust_bill_T10_mean,cust_bill_T10_std,cust_bill_T11_mean,cust_bill_T11_std,cust_bill_T12_A_mean,cust_bill_T12_A_std,cust_bill_T13_A_mean,cust_bill_T13_A_std,cust_bill_T14_A_mean,cust_bill_T14_A_std,cust_bill_T15_A_mean,cust_bill_T15_A_std,cust_solar_bill_T01_mean,cust_solar_bill_T01_std,cust_solar_bill_T02_mean,cust_solar_bill_T02_std,cust_solar_bill_T03_mean,cust_solar_bill_T03_std,cust_solar_bill_T04_mean,cust_solar_bill_T04_std,cust_solar_bill_T05_mean,cust_solar_bill_T05_std,cust_solar_bill_T06_mean,cust_solar_bill_T06_std,cust_solar_bill_T07_mean,cust_solar_bill_T07_std,cust_solar_bill_T08_mean,cust_solar_bill_T08_std,cust_solar_bill_T09_mean,cust_solar_bill_T09_std,cust_solar_bill_T10_mean,cust_solar_bill_T10_std,cust_solar_bill_T11_mean,cust_solar_bill_T11_std,cust_solar_bill_T12_A_mean,cust_solar_bill_T12_A_std,cust_solar_bill_T13_A_mean,cust_solar_bill_T13_A_std,cust_solar_bill_T14_A_mean,cust_solar_bill_T14_A_std,cust_solar_bill_T15_A_mean,cust_solar_bill_T15_A_std,cust_total$_T01_mean,cust_total$_T01_std,cust_total$_T02_mean,cust_total$_T02_std,cust_total$_T03_mean,cust_total$_T03_std,cust_total$_T04_mean,cust_total$_T04_std,cust_total$_T05_mean,cust_total$_T05_std,cust_total$_T06_mean,cust_total$_T06_std,cust_total$_T07_mean,cust_total$_T07_std,cust_total$_T08_mean,cust_total$_T08_std,cust_total$_T09_mean,cust_total$_T09_std,cust_total$_T10_mean,cust_total$_T10_std,cust_total$_T11_mean,cust_total$_T11_std,cust_total$_T12_A_mean,cust_total$_T12_A_std,cust_total$_T13_A_mean,cust_total$_T13_A_std,cust_total$_T14_A_mean,cust_total$_T14_A_std,cust_total$_T15_A_mean,cust_total$_T15_A_std
120,1280.4160608219452,,798.1515096253548,,1217.0525566243005,,902.5744279578314,,2998.2247822947647,,1531.0599086130876,,1050.9906714271376,,1562.8996924765306,,1047.4780966246728,,989.5222411243819,,1134.9802815777607,,1127.34777485627,,1127.34777485627,,1127.34777485627,,1127.34777485627,,250.13234991253347,,219.03949332111227,,407.6810515637201,,97.6034487462959,,635.9422003872502,,286.8522495707486,,197.86663595695944,,270.9381487923141,,175.0911019240973,,107.14765007551907,,226.51537083449853,,168.33838642417945,,168.33838642417945,,168.33838642417945,,168.33838642417945,,1530.5484107344787,,1017.191002946467,,1624.7336081880205,,1000.1778767041272,,3634.166982682015,,1817.9121581838363,,1248.857307384097,,1833.8378412688448,,1222.5691985487701,,1096.669891199901,,1361.495652412259,,1295.6861612804494,,1295.6861612804494,,1295.6861612804494,,1295.6861612804494,
121,1280.4160608219452,,798.1515096253548,,1217.0525566243005,,902.5744279578314,,2998.2247822947647,,1531.0599086130876,,1050.9906714271376,,1562.8996924765306,,1047.4780966246728,,989.5222411243819,,1134.9802815777607,,1127.34777485627,,1127.34777485627,,1127.34777485627,,1127.34777485627,,250.13234991253347,,219.03949332111227,,407.6810515637201,,97.6034487462959,,635.9422003872502,,286.8522495707486,,197.86663595695944,,270.9381487923141,,175.0911019240973,,107.14765007551907,,226.51537083449853,,168.33838642417945,,168.33838642417945,,168.33838642417945,,168.33838642417945,,1530.5484107344787,,1017.191002946467,,1624.7336081880205,,1000.1778767041272,,3634.166982682015,,1817.9121581838363,,1248.857307384097,,1833.8378412688448,,1222.5691985487701,,1096.669891199901,,1361.495652412259,,1295.6861612804494,,1295.6861612804494,,1295.6861612804494,,1295.6861612804494,
122,1280.4160608219452,,798.1515096253548,,1217.0525566243005,,902.5744279578314,,2998.2247822947647,,1531.0599086130876,,1050.9906714271376,,1562.8996924765306,,1047.4780966246728,,989.5222411243819,,1134.9802815777607,,1127.34777485627,,1127.34777485627,,1127.34777485627,,1127.34777485627,,250.13234991253347,,219.03949332111227,,407.6810515637201,,97.6034487462959,,635.9422003872502,,286.8522495707486,,197.86663595695944,,270.9381487923141,,175.0911019240973,,107.14765007551907,,226.51537083449853,,168.33838642417945,,168.33838642417945,,168.33838642417945,,168.33838642417945,,1530.5484107344787,,1017.191002946467,,1624.7336081880205,,1000.1778767041272,,3634.166982682015,,1817.9121581838363,,1248.857307384097,,1833.8378412688448,,1222.5691985487701,,1096.669891199901,,1361.495652412259,,1295.6861612804494,,1295.6861612804494,,1295.6861612804494,,1295.6861612804494,
123,1280.4160608219452,,798.1515096253548,,1217.0525566243005,,902.5744279578314,,2998.2247822947647,,1531.0599086130876,,1050.9906714271376,,1562.8996924765306,,1047.4780966246728,,989.5222411243819,,1134.9802815777607,,1127.34777485627,,1127.34777485627,,1127.34777485627,,1127.34777485627,,250.13234991253347,,219.03949332111227,,407.6810515637201,,97.6034487462959,,635.9422003872502,,286.8522495707486,,197.86663595695944,,270.9381487923141,,175.0911019240973,,107.14765007551907,,226.51537083449853,,168.33838642417945,,168.33838642417945,,168.33838642417945,,168.33838642417945,,1530.5484107344787,,1017.191002946467,,1624.7336081880205,,1000.1778767041272,,3634.166982682015,,1817.9121581838363,,1248.857307384097,,1833.8378412688448,,1222.5691985487701,,1096.669891199901,,1361.495652412259,,1295.6861612804494,,1295.6861612804494,,1295.6861612804494,,1295.6861612804494,
124,1280.4160608219452,,798.1515096253548,,1217.0525566243005,,902.5744279578314,,2998.2247822947647,,1531.0599086130876,,1050.9906714271376,,1562.8996924765306,,1047.4780966246728,,989.5222411243819,,1134.9802815777607,,1127.34777485627,,1127.34777485627,,1127.34777485627,,1127.34777485627,,250.13234991253347,,219.03949332111227,,407.6810515637201,,97.6034487462959,,635.9422003872502,,286.8522495707486,,197.86663595695944,,270.9381487923141,,175.0911019240973,,107.14765007551907,,226.51537083449853,,168.33838642417945,,168.33838642417945,,168.33838642417945,,168.33838642417945,,1530.5484107344787,,1017.191002946467,,1624.7336081880205,,1000.1778767041272,,3634.166982682015,,1817.9121581838363,,1248.857307384097,,1833.8378412688448,,1222.5691985487701,,1096.669891199901,,1361.495652412259,,1295.6861612804494,,1295.6861612804494,,1295.6861612804494,,1295.6861612804494,
125,1306.730933224278,,824.6114977836208,,1271.5669425603203,,914.5717544961798,,3045.7708908953505,,1559.2443667261596,,1074.7839393142276,,1591.2651155369815,,1064.7991050107798,,1000.0719140143198,,1157.5079135924698,,1143.6599685015615,,1143.6599685015615,,1143.6599685015615,,1143.6599685015615,,248.68608612244495,,213.97722795871795,,392.40740625300043,,95.11791356438616,,653.7734353185166,,287.4086571751965,,193.41485341096623,,269.52525081318095,,175.30010393110015,,107.33108576175701,,226.65304313309932,,168.91799197654214,,168.91799197654214,,168.91799197654214,,168.91799197654214,,1555.4170193467228,,1038.588725742339,,1663.9743488133206,,1009.6896680605659,,3699.544326213867,,1846.6530239013562,,1268.1987927251937,,1860.7903663501627,,1240.0992089418799,,1107.4029997760767,,1384.160956725569,,1312.5779604781037,,1312.5779604781037,,1312.5779604781037,,1312.5779604781037,
126,1306.730933224278,,824.6114977836208,,1271.5669425603203,,914.5717544961798,,3045.7708908953505,,1559.2443667261596,,1074.7839393142276,,1591.2651155369815,,1064.7991050107798,,1000.0719140143198,,1157.5079135924698,,1143.6599685015615,,1143.6599685015615,,1143.6599685015615,,1143.6599685015615,,248.68608612244495,,213.97722795871795,,392.40740625300043,,95.11791356438616,,653.7734353185166,,287.4086571751965,,193.41485341096623,,269.52525081318095,,175.30010393110015,,107.33108576175701,,226.65304313309932,,168.91799197654214,,168.91799197654214,,168.91799197654214,,168.91799197654214,,1555.4170193467228,,1038.588725742339,,1663.9743488133206,,1009.6896680605659,,3699.544326213867,,1846.6530239013562,,1268.1987927251937,,1860.7903663501627,,1240.0992089418799,,1107.4029997760767,,1384.160956725569,,1312.5779604781037,,1312.5779604781037,,1312.5779604781037,,1312.5779604781037,
127,1306.730933224278,,824.6114977836208,,1271.5669425603203,,914.5717544961798,,3045.7708908953505,,1559.2443667261596,,1074.7839393142276,,1591.2651155369815,,1064.7991050107798,,1000.0719140143198,,1157.5079135924698,,1143.6599685015615,,1143.6599685015615,,1143.6599685015615,,1143.6599685015615,,248.68608612244495,,213.97722795871795,,392.40740625300043,,95.11791356438616,,653.7734353185166,,287.4086571751965,,193.41485341096623,,269.52525081318095,,175.30010393110015,,107.33108576175701,,226.65304313309932,,168.91799197654214,,168.91799197654214,,168.91799197654214,,168.91799197654214,,1555.4170193467228,,1038.588725742339,,1663.9743488133206,,1009.6896680605659,,3699.544326213867,,1846.6530239013562,,1268.1987927251937,,1860.7903663501627,,1240.0992089418799,,1107.4029997760767,,1384.160956725569,,1312.5779604781037,,1312.5779604781037,,1312.5779604781037,,1312.5779604781037,
128,1306.730933224278,,824.6114977836208,,1271.5669425603203,,914.5717544961798,,3045.7708908953505,,1559.2443667261596,,1074.7839393142276,,1591.2651155369815,,1064.7991050107798,,1000.0719140143198,,1157.5079135924698,,1143.6599685015615,,1143.6599685015615,,1143.6599685015615,,1143.6599685015615,,248.68608612244495,,213.97722795871795,,392.40740625300043,,95.11791356438616,,653.7734353185166,,287.4086571751965,,193.41485341096623,,269.52525081318095,,175.30010393110015,,107.33108576175701,,226.65304313309932,,168.91799197654214,,168.91799197654214,,168.91799197654214,,168.91799197654214,,1555.4170193467228,,1038.588725742339,,1663.9743488133206,,1009.6896680605659,,3699.544326213867,,1846.6530239013562,,1268.1987927251937,,1860.7903663501627,,1240.0992089418799,,1107.4029997760767,,1384.160956725569,,1312.5779604781037,,1312.5779604781037,,1312.5779604781037,,1312.5779604781037,
129,1306.730933224278,,824.6114977836208,,1271.5669425603203,,914.5717544961798,,3045.7708908953505,,1559.2443667261596,,1074.7839393142276,,1591.2651155369815,,1064.7991050107798,,1000.0719140143198,,1157.5079135924698,,1143.6599685015615,,1143.6599685015615,,1143.6599685015615,,1143.6599685015615,,248.68608612244495,,213.97722795871795,,392.40740625300043,,95.11791356438616,,653.7734353185166,,287.4086571751965,,193.41485341096623,,269.52525081318095,,175.30010393110015,,107.33108576175701,,226.65304313309932,,168.91799197654214,,168.91799197654214,,168.91799197654214,,168.91799197654214,,1555.4170193467228,,1038.588725742339,,1663.9743488133206,,1009.6896680605659,,3699.544326213867,,1846.6530239013562,,1268.1987927251937,,1860.7903663501627,,1240.0992089418799,,1107.4029997760767,,1384.160956725569,,1312.5779604781037,,1312.5779604781037,,1312.5779604781037,,1312.5779604781037,
130,1289.1876849560563,,806.9715056781101,,1235.2240186029737,,906.5735368039476,,3014.073485161627,,1540.4547279841115,,1058.9217607228343,,1572.3548334966808,,1053.2517660867084,,993.0387987543612,,1142.4894922493304,,1132.785172738034,,1132.785172738034,,1132.785172738034,,1132.785172738034,,266.22933439066696,,231.6172200642287,,428.7503302103468,,103.11613125661839,,685.4708410522402,,306.1982959172443,,209.27703200235948,,288.4355328534818,,186.8474428551716,,114.3642010217155,,241.67146447623873,,179.79278774006983,,179.79278774006983,,179.79278774006983,,179.79278774006983,,1555.417019346723,,1038.588725742339,,1663.9743488133206,,1009.6896680605661,,3699.544326213867,,1846.653023901356,,1268.1987927251937,,1860.7903663501627,,1240.0992089418799,,1107.4029997760767,,1384.160956725569,,1312.5779604781037,,1312.5779604781037,,1312.5779604781037,,1312.5779604781037,
131,1289.1876849560563,,806.9715056781101,,1235.2240186029737,,906.5735368039476,,3014.073485161627,,1540.4547279841115,,1058.9217607228343,,1572.3548334966808,,1053.2517660867084,,993.0387987543612,,1142.4894922493304,,1132.785172738034,,1132.785172738034,,1132.785172738034,,1132.785172738034,,266.22933439066696,,231.6172200642287,,428.7503302103468,,103.11613125661839,,685.4708410522402,,306.1982959172443,,209.27703200235948,,288.4355328534818,,186.8474428551716,,114.3642010217155,,241.67146447623873,,179.79278774006983,,179.79278774006983,,179.79278774006983,,179.79278774006983,,1555.417019346723,,1038.588725742339,,1663.9743488133206,,1009.6896680605661,,3699.544326213867,,1846.653023901356,,1268.1987927251937,,1860.7903663501627,,1240.0992089418799,,1107.4029997760767,,1384.160956725569,,1312.5779604781037,,1312.5779604781037,,1312.5779604781037,,1312.5779604781037,
132,1289.1876849560563,,806.9715056781101,,1235.2240186029737,,906.5735368039476,,3014.073485161627,,1540.4547279841115,,1058.9217607228343,,1572.3548334966808,,1053.2517660867084,,993.0387987543612,,1142.4894922493304,,1132.785172738034,,1132.785172738034,,1132.785172738034,,1132.785172738034,,266.22933439066696,,231.6172200642287,,428.7503302103468,,103.11613125661839,,685.4708410522402,,306.1982959172443,,209.27703200235948,,288.4355328534818,,186.8474428551716,,114.3642010217155,,241.67146447623873,,179.79278774006983,,179.79278774006983,,179.79278774006983,,179.79278774006983,,1555.417019346723,,1038.588725742339,,1663.9743488133206,,1009.6896680605661,,3699.544326213867,,1846.653023901356,,1268.1987927251937,,1860.7903663501627,,1240.0992089418799,,1107.4029997760767,,1384.160956725569,,1312.5779604781037,,1312.5779604781037,,1312.5779604781037,,1312.5779604781037,
133,1289.1876849560563,,806.9715056781101,,1235.2240186029737,,906.5735368039476,,3014.073485161627,,1540.4547279841115,,1058.9217607228343,,1572.3548334966808,,1053.2517660867084,,993.0387987543612,,1142.4894922493304,,1132.785172738034,,1132.785172738034,,1132.785172738034,,1132.785172738034,,266.22933439066696,,231.6172200642287,,428.7503302103468,,103.11613125661839,,685.4708410522402,,306.1982959172443,,209.27703200235948,,288.4355328534818,,186.8474428551716,,114.3642010217155,,241.67146447623873,,179.79278774006983,,179.79278774006983,,179.79278774006983,,179.79278774006983,,1555.417019346723,,1038.588725742339,,1663.9743488133206,,1009.6896680605661,,3699.544326213867,,1846.653023901356,,1268.1987927251937,,1860.7903663501627,,1240.0992089418799,,1107.4029997760767,,1384.160956725569,,1312.5779604781037,,1312.5779604781037,,1312.5779604781037,,1312.5779604781037,
134,1289.1876849560563,,806.9715056781101,,1235.2240186029737,,906.5735368039476,,3014.073485161627,,1540.4547279841115,,1058.9217607228343,,1572.3548334966808,,1053.2517660867084,,993.0387987543612,,1142.4894922493304,,1132.785172738034,,1132.785172738034,,1132.785172738034,,1132.785172738034,,266.22933439066696,,231.6172200642287,,428.7503302103468,,103.11613125661839,,685.4708410522402,,306.1982959172443,,209.27703200235948,,288.4355328534818,,186.8474428551716,,114.3642010217155,,241.67146447623873,,179.79278774006983,,179.79278774006983,,179.79278774006983,,179.79278774006983,,1555.417019346723,,1038.588725742339,,1663.9743488133206,,1009.6896680605661,,3699.544326213867,,1846.653023901356,,1268.1987927251937,,1860.7903663501627,,1240.0992089418799,,1107.4029997760767,,1384.160956725569,,1312.5779604781037,,1312.5779604781037,,1312.5779604781037,,1312.5779604781037,
135,1280.4160608219452,,798.1515096253548,,1217.0525566243005,,902.5744279578314,,2998.2247822947647,,1531.0599086130876,,1050.9906714271376,,1562.8996924765306,,1047.4780966246728,,989.5222411243819,,1134.9802815777607,,1127.34777485627,,1127.34777485627,,1127.34777485627,,1127.34777485627,,275.00095852477796,,240.43721611698402,,446.92179218902004,,107.1152401027345,,701.3195439191018,,315.5931152882683,,217.20812129805606,,297.8906738736322,,192.6211123172073,,117.88075865169476,,249.18067514780847,,185.23018562183367,,185.23018562183367,,185.23018562183367,,185.23018562183367,,1555.417019346723,,1038.588725742339,,1663.9743488133204,,1009.6896680605659,,3699.5443262138665,,1846.653023901356,,1268.1987927251937,,1860.7903663501627,,1240.09920894188,,1107.4029997760767,,1384.160956725569,,1312.5779604781035,,1312.5779604781035,,1312.5779604781035,,1312.5779604781035,
136,1280.4160608219452,,798.1515096253548,,1217.0525566243005,,902.5744279578314,,2998.2247822947647,,1531.0599086130876,,1050.9906714271376,,1562.8996924765306,,1047.4780966246728,,989.5222411243819,,1134.9802815777607,,1127.34777485627,,1127.34777485627,,1127.34777485627,,1127.34777485627,,275.00095852477796,,240.43721611698402,,446.92179218902004,,107.1152401027345,,701.3195439191018,,315.5931152882683,,217.20812129805606,,297.8906738736322,,192.6211123172073,,117.88075865169476,,249.18067514780847,,185.23018562183367,,185.23018562183367,,185.23018562183367,,185.23018562183367,,1555.417019346723,,1038.588725742339,,1663.9743488133204,,1009.6896680605659,,3699.5443262138665,,1846.653023901356,,1268.1987927251937,,1860.7903663501627,,1240.09920894188,,1107.4029997760767,,1384.160956725569,,1312.5779604781035,,1312.5779604781035,,1312.5779604781035,,1312.5779604781035,
137,1280.4160608219452,,798.1515096253548,,1217.0525566243005,,902.5744279578314,,2998.2247822947647,,1531.0599086130876,,1050.9906714271376,,1562.8996924765306,,1047.4780966246728,,989.5222411243819,,1134.9802815777607,,1127.34777485627,,1127.34777485627,,1127.34777485627,,1127.34777485627,,275.00095852477796,,240.43721611698402,,446.92179218902004,,107.1152401027345,,701.3195439191018,,315.5931152882683,,217.20812129805606,,297.8906738736322,,192.6211123172073,,117.88075865169476,,249.18067514780847,,185.23018562183367,,185.23018562183367,,185.23018562183367,,185.23018562183367,,1555.417019346723,,1038.588725742339,,1663.9743488133204,,1009.6896680605659,,3699.5443262138665,,1846.653023901356,,1268.1987927251937,,1860.7903663501627,,1240.09920894188,,1107.4029997760767,,1384.160956725569,,1312.5779604781035,,1312.5779604781035,,1312.5779604781035,,1312.5779604781035,
